time	V(h)	V(vin)
1.732314921929781e-002	2.878116e-002	1.000000e+000
1.744521953179781e-002	2.756182e-002	1.000000e+000
1.756728984429781e-002	2.598717e-002	1.000000e+000
1.768936015679781e-002	2.405723e-002	1.000000e+000
1.777725078179781e-002	2.251718e-002	1.000000e+000
1.786514140679781e-002	2.089365e-002	1.000000e+000
1.795303203179781e-002	1.918665e-002	1.000000e+000
1.804092265679781e-002	1.739617e-002	1.000000e+000
1.812881328179781e-002	1.552222e-002	1.000000e+000
1.821670390679781e-002	1.356479e-002	1.000000e+000
1.830459453179781e-002	1.152389e-002	1.000000e+000
1.836807109429781e-002	1.004194e-002	1.000000e+000
1.843154765679781e-002	8.562173e-003	1.000000e+000
1.849502421929781e-002	7.084601e-003	1.000000e+000
1.855850078179781e-002	5.609221e-003	1.000000e+000
1.862197734429781e-002	4.136034e-003	1.000000e+000
1.868545390679781e-002	2.665038e-003	1.000000e+000
1.874893046929781e-002	1.196235e-003	1.000000e+000
1.885146953179781e-002	-1.110473e-003	1.000000e+000
1.895400859429781e-002	-3.344570e-003	1.000000e+000
1.905654765679781e-002	-5.487285e-003	1.000000e+000
1.915420390679782e-002	-7.452849e-003	1.000000e+000
1.925186015679781e-002	-9.278813e-003	1.000000e+000
1.934951640679782e-002	-1.096518e-002	1.000000e+000
1.944717265679782e-002	-1.251194e-002	1.000000e+000
1.954482890679782e-002	-1.391910e-002	1.000000e+000
1.964248515679782e-002	-1.518666e-002	1.000000e+000
1.974014140679782e-002	-1.631461e-002	1.000000e+000
1.990127421929782e-002	-1.774183e-002	1.000000e+000
2.006240703179782e-002	-1.872631e-002	1.000000e+000
2.022353984429782e-002	-1.926804e-002	1.000000e+000
2.038467265679782e-002	-1.936703e-002	1.000000e+000
2.054580546929782e-002	-1.902328e-002	1.000000e+000
2.070693828179782e-002	-1.823678e-002	1.000000e+000
2.086807109429782e-002	-1.700753e-002	1.000000e+000
2.096572734429782e-002	-1.609761e-002	1.000000e+000
2.106338359429782e-002	-1.510366e-002	1.000000e+000
2.116103984429782e-002	-1.402571e-002	1.000000e+000
2.125869609429782e-002	-1.286374e-002	1.000000e+000
2.135635234429783e-002	-1.161775e-002	1.000000e+000
2.145400859429782e-002	-1.028776e-002	1.000000e+000
2.155166484429782e-002	-8.873743e-003	1.000000e+000
2.162490703179782e-002	-7.796291e-003	1.000000e+000
2.169814921929783e-002	-6.715425e-003	1.000000e+000
2.177139140679783e-002	-5.631147e-003	1.000000e+000
2.184463359429783e-002	-4.543456e-003	1.000000e+000
2.191787578179782e-002	-3.452352e-003	1.000000e+000
2.199111796929783e-002	-2.357835e-003	1.000000e+000
2.206436015679783e-002	-1.259905e-003	1.000000e+000
2.213271953179783e-002	-2.518013e-004	1.000000e+000
2.220107890679783e-002	7.306743e-004	1.000000e+000
2.226943828179783e-002	1.687522e-003	1.000000e+000
2.233779765679783e-002	2.618742e-003	1.000000e+000
2.240615703179783e-002	3.524334e-003	1.000000e+000
2.247451640679783e-002	4.404297e-003	1.000000e+000
2.254287578179783e-002	5.258633e-003	1.000000e+000
2.266982890679783e-002	6.754548e-003	1.000000e+000
2.279678203179783e-002	8.080029e-003	1.000000e+000
2.292373515679783e-002	9.235075e-003	1.000000e+000
2.305068828179783e-002	1.021969e-002	1.000000e+000
2.317764140679783e-002	1.103387e-002	1.000000e+000
2.330459453179783e-002	1.167761e-002	1.000000e+000
2.343154765679783e-002	1.215092e-002	1.000000e+000
2.356826640679783e-002	1.240477e-002	1.000000e+000
2.370498515679783e-002	1.247043e-002	1.000000e+000
2.384170390679783e-002	1.234789e-002	1.000000e+000
2.397842265679783e-002	1.203716e-002	1.000000e+000
2.411514140679784e-002	1.153824e-002	1.000000e+000
2.425186015679784e-002	1.085112e-002	1.000000e+000
2.438857890679784e-002	9.975811e-003	1.000000e+000
2.448623515679784e-002	9.271907e-003	1.000000e+000
2.458389140679784e-002	8.527748e-003	1.000000e+000
2.468154765679784e-002	7.743335e-003	1.000000e+000
2.477920390679784e-002	6.918668e-003	1.000000e+000
2.487686015679784e-002	6.053747e-003	1.000000e+000
2.497451640679784e-002	5.148572e-003	1.000000e+000
2.507217265679784e-002	4.203142e-003	1.000000e+000
2.514541484429784e-002	3.493381e-003	1.000000e+000
2.521865703179784e-002	2.788981e-003	1.000000e+000
2.529189921929784e-002	2.089942e-003	1.000000e+000
2.536514140679784e-002	1.396265e-003	1.000000e+000
2.543838359429784e-002	7.079477e-004	1.000000e+000
